pizza,egg-tomato,bean,Fish in oil,coca_cola,humberger,franch_frise,dessert,family_portrait_package,dumplings,business volume
293,667,556,39,563,727,753,508,15,7,31715
293,445,348,148,617,668,638,598,5,26,33734
330,875,569,131,789,929,905,787,0,22,43498
209,856,350,48,523,696,594,493,90,13,34425
325,967,292,65,587,657,731,608,68,7,37969
382,916,689,101,572,693,805,672,70,16,43689
269,433,232,54,493,505,409,395,85,30,28307
217,630,268,77,670,846,875,592,68,5,36291
500,704,322,73,689,820,681,745,32,25,39951
496,675,391,95,684,655,660,682,66,25,41040
273,631,284,143,479,474,578,526,21,23,32366
279,795,243,129,617,864,914,638,76,17,42229
252,757,302,77,690,878,776,567,99,6,39269
295,837,201,103,672,878,873,690,99,15,43238
237,633,695,49,484,523,548,431,20,15,28605
137,537,411,107,382,551,422,417,22,27,26985
487,969,650,109,477,476,470,573,59,29,40788
194,778,201,130,547,805,679,594,22,17,35048
354,462,351,43,738,964,1056,727,0,14,35670
161,880,461,42,650,856,781,520,3,7,31855
212,854,394,34,658,874,876,521,14,28,33694
369,590,337,126,595,628,678,632,91,24,40153
315,480,443,76,498,458,502,522,7,6,27712
325,961,387,144,666,802,878,651,5,20,41238
182,731,213,68,571,683,602,464,98,27,33916
452,962,606,100,721,908,905,803,17,10,45261
155,499,644,116,594,781,868,516,60,16,36318
480,921,312,114,500,432,309,573,74,26,38412
183,535,346,119,638,917,881,644,74,7,38664
484,904,452,77,714,727,746,738,72,29,44321
388,583,534,43,600,584,625,581,18,12,31929
407,716,542,74,818,997,1073,720,37,15,43525
294,867,376,143,578,763,826,615,31,8,39872
325,825,346,72,712,833,771,614,68,6,39296
401,703,648,132,411,439,429,566,45,5,36114
426,550,265,84,474,507,441,584,26,18,31382
212,793,491,42,591,735,648,443,75,10,33745
416,411,487,120,588,676,632,699,16,18,36091
290,459,438,50,485,569,502,464,95,27,31845
438,522,308,37,673,863,924,668,13,13,35366
147,994,409,43,496,708,733,433,17,21,30904
232,482,483,54,672,843,831,546,40,29,33705
434,924,469,108,821,989,966,817,11,15,45532
247,405,233,56,387,446,347,364,88,6,25913
134,889,246,26,453,669,599,434,43,9,28253
490,826,427,85,758,824,681,748,15,12,40744
221,672,527,51,643,891,992,619,96,16,39961
313,677,486,83,678,887,853,637,96,9,41836
367,464,683,105,505,566,505,628,66,20,36552
360,411,558,149,665,770,834,724,25,17,39755
338,828,567,70,545,668,586,518,13,25,34165
295,403,554,108,623,839,885,648,81,9,39770
362,688,483,109,501,532,456,532,79,20,36699
164,589,506,29,604,879,719,555,37,11,31301
224,497,466,28,377,509,444,346,12,7,22643
284,819,538,93,598,795,650,596,3,11,35399
370,478,602,46,665,862,732,598,0,29,33696
216,670,641,133,545,738,799,613,55,9,38966
219,742,373,81,455,621,614,536,59,17,33402
466,989,239,112,703,842,840,795,81,18,47350
375,978,390,105,734,810,883,736,20,13,42191
271,432,394,78,599,713,671,523,54,12,32525
144,949,215,31,548,700,690,430,52,22,30860
500,856,259,119,760,963,914,845,71,19,48622
282,984,245,38,479,485,506,499,40,17,30708
373,965,457,96,758,849,955,674,62,29,45044
418,770,420,99,508,504,389,538,38,13,34332
183,871,362,63,413,516,559,402,15,12,27801
292,488,609,76,592,806,754,634,29,18,35235
416,1000,345,62,697,883,935,657,67,27,43876
291,733,432,49,592,748,681,599,35,18,34234
463,971,579,52,596,608,692,648,38,30,39698
141,929,351,116,498,732,827,488,42,24,36114
140,988,343,110,446,681,694,458,11,10,32446
169,562,410,37,478,529,601,340,84,28,28573
493,509,403,78,647,779,888,757,23,20,39198
192,671,513,56,536,643,673,475,51,6,31362
241,601,299,37,469,595,525,471,50,26,28669
402,808,540,53,752,828,716,677,51,11,39974
245,431,699,43,645,858,846,535,70,13,35357
392,884,392,72,569,604,489,535,23,24,34401
253,657,322,141,468,582,671,551,75,17,36863
477,911,679,21,696,839,740,720,19,10,39776
351,677,302,95,419,484,579,522,38,27,32792
198,880,546,48,388,546,443,468,6,6,27746
277,972,399,142,477,550,649,519,33,17,37088
252,506,563,129,459,453,572,527,74,22,34628
289,955,300,67,520,608,725,538,18,6,33254
427,435,473,27,744,924,955,642,71,22,39071
419,731,478,89,579,620,715,653,91,9,40964
231,580,520,133,549,791,886,657,57,5,39211
394,401,407,149,776,905,808,838,99,29,46332
479,480,216,25,710,813,656,661,5,8,32119
134,559,611,61,341,481,499,359,91,8,28766
498,829,502,100,745,901,886,790,49,24,46408
291,417,467,33,755,968,961,581,0,9,32399
113,491,675,150,657,941,968,581,89,28,41898
214,459,628,66,400,461,492,421,58,28,28757
157,463,232,76,636,907,1013,547,14,13,31633
264,476,477,137,674,910,840,673,38,9,38945
346,846,407,64,501,507,644,483,60,29,34940
161,604,438,136,378,463,498,410,83,14,32240
117,599,489,139,398,547,626,405,53,29,31991
304,586,309,61,555,581,602,566,87,29,34429
377,585,278,99,532,632,537,621,0,11,31951
412,499,559,36,553,594,494,523,6,7,29149
258,974,349,125,628,792,862,647,54,21,41843
121,408,602,114,701,934,1021,570,30,6,35600
287,628,245,93,711,936,953,729,24,7,38027
249,688,307,80,442,459,377,461,40,10,28395
272,747,500,70,652,857,838,656,37,16,37859
448,455,700,147,707,842,947,735,94,12,47322
114,576,523,90,473,630,623,501,29,20,29822
237,726,283,141,430,440,415,501,27,18,31081
371,843,399,86,734,891,879,722,78,25,44356
294,852,450,108,435,458,457,497,86,24,36243
185,936,599,110,736,998,1029,623,74,17,44591
496,680,620,136,750,941,1001,874,16,25,47336
268,991,223,144,703,921,967,699,5,12,41529
418,904,213,123,767,935,923,759,1,29,42975
406,721,258,54,483,515,392,491,27,27,30243
324,649,546,29,592,723,638,522,15,30,31712
101,887,445,90,521,674,605,454,14,8,30381
264,539,249,64,482,498,408,471,77,7,29156
351,445,424,29,484,577,717,504,51,11,30360
120,788,593,134,643,923,901,668,68,11,41838
111,451,325,141,581,728,713,473,59,22,33150
198,569,346,24,491,527,529,357,50,13,25515
286,616,548,143,518,649,594,658,60,9,38375
434,428,200,56,704,774,864,644,23,12,34290
409,851,625,104,601,583,678,586,9,21,37691
219,956,674,103,421,552,435,542,36,5,34328
