Index,pizza,egg-tomato,bean,Fish in oil,coca_cola,humberger,franch_frise,dessert,family_portrait_package,dumplings,营业额,净利润,成本
1,293,667,556,39,563,727,753,508,15,7,31715,10423.6,21291.4
2,293,445,348,148,617,668,638,598,5,26,33734,10898.1,22835.9
3,330,875,569,131,789,929,905,787,0,22,43498,14177,29321
4,209,856,350,48,523,696,594,493,90,13,34425,11395.5,23029.5
5,325,967,292,65,587,657,731,608,68,7,37969,12447.1,25521.9
6,382,916,689,101,572,693,805,672,70,16,43689,14448.4,29240.6
7,269,433,232,54,493,505,409,395,85,30,28307,9248.9,19058.1
8,217,630,268,77,670,846,875,592,68,5,36291,11745.7,24545.3
9,500,704,322,73,689,820,681,745,32,25,39951,12961.9,26989.1
10,496,675,391,95,684,655,660,682,66,25,41040,13340.7,27699.3
11,273,631,284,143,479,474,578,526,21,23,32366,10563.8,21802.2
12,279,795,243,129,617,864,914,638,76,17,42229,13789.7,28439.3
13,252,757,302,77,690,878,776,567,99,6,39269,12827.9,26441.1
14,295,837,201,103,672,878,873,690,99,15,43238,14079,29159
15,237,633,695,49,484,523,548,431,20,15,28605,9506.1,19098.9
16,137,537,411,107,382,551,422,417,22,27,26985,8953.5,18031.5
17,487,969,650,109,477,476,470,573,59,29,40788,13616.6,27171.4
18,194,778,201,130,547,805,679,594,22,17,35048,11464.1,23583.9
19,354,462,351,43,738,964,1056,727,0,14,35670,11390.8,24279.2
20,161,880,461,42,650,856,781,520,3,7,31855,10477.8,21377.2
21,212,854,394,34,658,874,876,521,14,28,33694,11063.8,22630.2
22,369,590,337,126,595,628,678,632,91,24,40153,13071.1,27081.9
23,315,480,443,76,498,458,502,522,7,6,27712,8996.9,18715.1
24,325,961,387,144,666,802,878,651,5,20,41238,13508.3,27729.7
25,182,731,213,68,571,683,602,464,98,27,33916,11135.9,22780.1
26,452,962,606,100,721,908,905,803,17,10,45261,14823.1,30437.9
27,155,499,644,116,594,781,868,516,60,16,36318,11916.6,24401.4
28,480,921,312,114,500,432,309,573,74,26,38412,12702,25710
29,183,535,346,119,638,917,881,644,74,7,38664,12543.3,26120.7
30,484,904,452,77,714,727,746,738,72,29,44321,14490.3,29830.7
31,388,583,534,43,600,584,625,581,18,12,31929,10391.6,21537.4
32,407,716,542,74,818,997,1073,720,37,15,43525,14125.8,29399.2
33,294,867,376,143,578,763,826,615,31,8,39872,13081.9,26790.1
34,325,825,346,72,712,833,771,614,68,6,39296,12819.8,26476.2
35,401,703,648,132,411,439,429,566,45,5,36114,11983.8,24130.2
36,426,550,265,84,474,507,441,584,26,18,31382,10206.4,21175.6
37,212,793,491,42,591,735,648,443,75,10,33745,11174.7,22570.3
38,416,411,487,120,588,676,632,699,16,18,36091,11679.2,24411.8
39,290,459,438,50,485,569,502,464,95,27,31845,10470.6,21374.4
40,438,522,308,37,673,863,924,668,13,13,35366,11366.2,23999.8
41,147,994,409,43,496,708,733,433,17,21,30904,10307.2,20596.8
42,232,482,483,54,672,843,831,546,40,29,33705,10957.5,22747.5
43,434,924,469,108,821,989,966,817,11,15,45532,14801.2,30730.8
44,247,405,233,56,387,446,347,364,88,6,25913,8494.4,17418.6
45,134,889,246,26,453,669,599,434,43,9,28253,9367.8,18885.2
46,490,826,427,85,758,824,681,748,15,12,40744,13243.7,27500.3
47,221,672,527,51,643,891,992,619,96,16,39961,13075.8,26885.2
48,313,677,486,83,678,887,853,637,96,9,41836,13677.7,28158.3
